level,points,death1,death2,death3,steps,date
15,78000,1,0,15,11558,2019-12-02 11:00:08
15,78000,0,0,15,10955,2019-12-02 12:42:19
15,78000,0,0,15,11927,2019-12-02 12:49:23
15,78000,15,0,15,9878,2019-12-02 12:55:19
15,78000,11,0,15,11671,2019-12-02 14:36:42
15,78000,0,0,15,12154,2019-12-02 14:44:05
15,78000,8,0,15,13326,2019-12-02 14:52:10
15,78000,0,0,15,13809,2019-12-02 15:00:32
15,78000,0,0,15,14139,2019-12-02 15:09:05
15,78000,9,0,15,12088,2019-12-02 15:16:25
15,78000,0,0,15,10854,2019-12-02 15:22:59
15,78000,0,0,15,12739,2019-12-02 15:30:42
15,78000,2,0,15,9867,2019-12-02 15:36:42
15,78000,8,0,15,9837,2019-12-02 15:42:43
15,78000,5,10,15,13176,2019-12-02 16:23:19
15,78000,0,0,15,12318,2019-12-02 16:30:35
15,78000,5,0,15,11614,2019-12-02 16:37:30
15,78000,0,0,15,11731,2019-12-02 16:44:30
15,78000,0,0,15,11153,2019-12-02 16:51:07
15,78000,0,0,15,11926,2019-12-02 16:58:17
15,78000,0,0,15,10228,2019-12-02 17:07:55
15,78000,8,0,15,10906,2019-12-02 17:14:20
15,78000,4,0,15,12135,2019-12-02 17:24:36
15,78000,0,0,15,11620,2019-12-02 17:32:32
15,78000,0,0,15,11658,2019-12-02 17:40:15
15,78000,6,0,15,12651,2019-12-02 17:47:56
15,78000,0,0,15,11876,2019-12-02 17:55:09
15,78000,0,0,15,12034,2019-12-02 18:02:29
15,78000,0,0,15,14397,2019-12-02 18:11:14
15,78000,0,0,15,9904,2019-12-02 18:17:15
15,78000,0,0,15,11226,2019-12-02 18:24:09
15,78000,0,0,15,12873,2019-12-02 18:31:56
15,78000,0,0,15,12284,2019-12-02 18:39:23
15,78000,7,0,15,10971,2019-12-02 18:46:03
15,78000,0,0,15,10915,2019-12-02 19:48:55
15,78000,0,0,15,12677,2019-12-02 19:56:37
15,78000,0,0,15,12139,2019-12-02 20:03:59
15,78000,5,0,15,13171,2019-12-02 20:11:59
15,78000,8,0,15,10746,2019-12-02 20:18:36
15,78000,0,0,15,14323,2019-12-02 20:27:17
15,78000,0,0,15,12697,2019-12-02 20:35:03
15,78000,0,0,15,12944,2019-12-02 21:21:10
15,78000,0,0,15,11003,2019-12-02 21:28:03
15,78000,9,0,15,13164,2019-12-02 21:35:54
15,78000,0,0,15,12761,2019-12-02 21:43:30
15,78000,12,0,15,11668,2019-12-02 21:50:28
15,78000,0,0,15,12751,2019-12-02 21:58:03
15,78000,0,0,15,12049,2019-12-02 22:05:13
15,78000,0,0,15,9218,2019-12-02 22:43:36
15,78000,3,11,15,11542,2019-12-02 22:50:42
15,78000,1,6,15,12770,2019-12-02 22:58:18
15,78000,8,0,15,10379,2019-12-02 23:04:29
15,78000,0,0,15,10876,2019-12-02 23:10:57
15,78000,0,0,15,12678,2019-12-02 23:18:30
15,78000,0,0,15,11379,2019-12-02 23:25:22
15,78000,0,0,15,10782,2019-12-02 23:31:59
15,78000,0,0,15,13300,2019-12-02 23:40:02
15,78000,0,0,15,12058,2019-12-02 23:47:22
15,78000,0,0,15,11336,2019-12-02 23:54:20
15,78000,0,0,15,12561,2019-12-03 00:01:57
15,78000,0,0,15,10881,2019-12-03 00:08:34
15,78000,0,0,15,11511,2019-12-03 00:15:33
15,78000,1,6,15,12534,2019-12-03 00:23:09
15,78000,0,0,15,10263,2019-12-03 00:29:22
15,78000,0,0,15,11149,2019-12-03 00:36:11
15,78000,0,0,15,12820,2019-12-03 00:43:53
15,78000,0,0,15,13765,2019-12-03 00:52:05
15,78000,0,0,15,12012,2019-12-03 00:59:15
15,78000,5,0,15,10216,2019-12-03 01:05:21
15,78000,0,0,15,10326,2019-12-03 01:11:31
15,78000,0,0,15,12808,2019-12-03 01:19:12
15,78000,0,0,15,11670,2019-12-03 01:26:10
15,78000,0,0,15,13693,2019-12-03 01:34:21
15,78000,0,0,15,10752,2019-12-03 01:40:51
15,78000,0,0,15,9976,2019-12-03 01:46:54
15,78000,0,0,15,10483,2019-12-03 01:53:09
15,78000,9,0,15,12198,2019-12-03 02:00:26
15,78000,2,0,15,12148,2019-12-03 02:07:43
15,78000,11,0,15,13941,2019-12-03 02:16:02
15,78000,0,0,15,12125,2019-12-03 02:23:16
15,78000,0,0,15,10765,2019-12-03 02:29:46
15,78000,0,0,15,11254,2019-12-03 02:36:29
15,78000,0,0,15,11657,2019-12-03 02:43:27
15,78000,0,0,15,13296,2019-12-03 02:51:23
15,78000,0,0,15,10850,2019-12-03 02:57:52
15,78000,0,0,15,11973,2019-12-03 03:05:00
15,78000,0,0,15,12267,2019-12-03 03:12:19
15,78000,7,0,15,11821,2019-12-03 03:19:22
15,78000,0,0,15,11564,2019-12-03 03:26:16
15,78000,0,0,15,11088,2019-12-03 03:32:53
15,78000,0,0,15,12032,2019-12-03 03:40:04
15,78000,0,0,15,11919,2019-12-03 03:47:11
15,78000,3,0,15,9578,2019-12-03 03:52:55
15,78000,0,0,15,12171,2019-12-03 04:00:11
15,78000,0,0,15,11224,2019-12-03 04:06:52
15,78000,0,0,15,10393,2019-12-03 04:13:05
15,78000,0,0,15,11646,2019-12-03 04:20:02
15,78000,7,7,15,14052,2019-12-03 04:28:30
15,78000,0,0,15,10991,2019-12-03 04:35:08
15,78000,0,0,15,11634,2019-12-03 04:42:05
15,78000,0,0,15,11140,2019-12-03 04:48:49
15,78000,0,0,15,10603,2019-12-03 04:55:09
15,78000,0,0,15,10059,2019-12-03 05:01:09
15,78000,0,0,15,9608,2019-12-03 05:06:59
15,78000,5,0,15,11844,2019-12-03 05:14:02
15,78000,0,0,15,12474,2019-12-03 05:21:29
15,78000,3,9,15,11406,2019-12-03 05:28:24
15,78000,0,0,15,12293,2019-12-03 05:35:43
15,78000,5,0,15,13749,2019-12-03 05:43:55
15,78000,0,0,15,10386,2019-12-03 05:50:08
15,78000,0,0,15,10828,2019-12-03 05:56:40
15,78000,0,0,15,13382,2019-12-03 06:04:39
15,78000,4,0,15,11455,2019-12-03 06:11:34
15,78000,0,0,15,11818,2019-12-03 06:18:37
15,78000,0,0,15,10774,2019-12-03 06:25:04
15,78000,13,0,15,12773,2019-12-03 06:32:54
15,78000,0,0,15,11727,2019-12-03 06:39:54
15,78000,3,9,15,10320,2019-12-03 06:46:04
15,78000,0,0,15,9900,2019-12-03 06:52:04
15,78000,0,0,15,11638,2019-12-03 06:59:01
15,78000,0,0,15,11412,2019-12-03 07:05:49
15,78000,0,0,15,10615,2019-12-03 07:12:14
15,78000,5,0,15,8782,2019-12-03 07:17:29
15,78000,0,0,15,11925,2019-12-03 07:24:36
15,78000,0,0,15,11587,2019-12-03 07:31:36
15,78000,0,0,15,11278,2019-12-03 07:38:24
15,78000,0,0,15,11486,2019-12-03 07:45:15
15,78000,0,0,15,11857,2019-12-03 07:52:24
15,78000,2,13,15,11772,2019-12-03 07:59:30
15,78000,0,0,15,11048,2019-12-03 08:06:07
15,78000,0,0,15,10023,2019-12-03 14:10:29
15,78000,1,0,15,11731,2019-12-03 16:18:45
15,78000,7,7,15,11178,2019-12-03 16:25:32
15,78000,0,0,15,12198,2019-12-03 16:35:06
15,78000,13,0,15,11551,2019-12-03 16:42:10
15,78000,2,0,15,12974,2019-12-03 18:48:37


15,78000,0,0,15,14223,2019-12-03 22:51:50
15,78000,0,0,15,13812,2019-12-03 23:00:27
15,78000,0,0,15,11837,2019-12-03 23:08:40
15,78000,0,0,15,11269,2019-12-03 23:15:29
15,78000,0,0,15,12433,2019-12-03 23:22:54
15,78000,0,0,15,12855,2019-12-03 23:30:32
15,78000,0,0,15,10436,2019-12-03 23:36:44
15,78000,8,0,15,11751,2019-12-03 23:43:45
15,78000,0,0,15,12925,2019-12-03 23:51:27
15,78000,0,0,15,10501,2019-12-03 23:57:44
15,78000,0,0,15,9841,2019-12-04 00:03:37
15,78000,0,0,15,11315,2019-12-04 00:10:22
15,78000,0,0,15,11167,2019-12-04 00:17:01
15,78000,0,0,15,11335,2019-12-04 00:23:48
15,78000,4,0,15,10717,2019-12-04 00:30:10
15,78000,0,0,15,10918,2019-12-04 00:36:40
15,78000,0,0,15,11214,2019-12-04 00:43:21
15,78000,0,0,15,11817,2019-12-04 00:50:23
15,78000,0,0,15,9986,2019-12-04 00:56:20
15,78000,0,0,15,11712,2019-12-04 01:03:18
15,78000,0,0,15,11600,2019-12-04 01:10:14
15,78000,0,0,15,12037,2019-12-04 01:17:29
15,78000,0,0,15,11616,2019-12-04 01:24:29
15,78000,0,0,15,13843,2019-12-04 01:32:48
15,78000,0,0,15,11039,2019-12-04 01:39:22
15,78000,3,0,15,10878,2019-12-04 01:45:51
15,78000,0,0,15,11329,2019-12-04 01:52:36
15,78000,0,0,15,13829,2019-12-04 02:00:50
15,78000,0,0,15,11131,2019-12-04 02:07:28
15,78000,0,0,15,11705,2019-12-04 02:14:26
15,78000,0,0,15,13040,2019-12-04 02:22:11
15,78000,0,0,15,10107,2019-12-04 02:28:13
15,78000,0,0,15,12079,2019-12-04 02:35:30
15,78000,0,0,15,12615,2019-12-04 02:43:01
15,78000,0,0,15,12349,2019-12-04 02:50:21
15,78000,0,0,15,9974,2019-12-04 02:56:18
15,78000,0,0,15,9701,2019-12-04 03:02:10
15,78000,0,0,15,11161,2019-12-04 03:08:54
15,78000,0,0,15,11280,2019-12-04 03:15:37
15,78000,0,0,15,9381,2019-12-04 03:21:13
15,78000,0,0,15,9748,2019-12-04 03:27:02
15,78000,0,0,15,11470,2019-12-04 03:33:52
15,78000,9,0,15,10030,2019-12-04 03:39:51
15,78000,6,0,15,12883,2019-12-04 03:47:30
15,78000,0,0,15,11544,2019-12-04 03:54:28
15,78000,11,0,15,9831,2019-12-04 04:00:20
15,78000,2,0,15,10353,2019-12-04 04:06:30
15,78000,0,0,15,12468,2019-12-04 04:14:00
15,78000,3,0,15,12937,2019-12-04 04:21:47
15,78000,2,0,15,10645,2019-12-04 04:28:08
15,78000,3,0,15,11689,2019-12-04 04:35:11
15,78000,0,0,15,10865,2019-12-04 04:41:39
15,78000,0,0,15,11549,2019-12-04 04:48:32
15,78000,0,0,15,9466,2019-12-04 04:54:10
15,78000,0,0,15,11710,2019-12-04 05:01:09
15,78000,0,0,15,13034,2019-12-04 05:08:59
15,78000,0,0,15,13964,2019-12-04 05:17:18
15,78000,0,0,15,10566,2019-12-04 05:23:36
15,78000,0,0,15,9701,2019-12-04 05:29:27
15,78000,0,0,15,12301,2019-12-04 05:36:46
15,78000,0,0,15,10931,2019-12-04 05:43:16
15,78000,0,0,15,10902,2019-12-04 05:49:46
15,78000,0,0,15,11169,2019-12-04 05:56:25
15,78000,0,0,15,10825,2019-12-04 06:02:52
15,78000,0,0,15,11082,2019-12-04 06:09:28
15,78000,0,0,15,9660,2019-12-04 06:15:14
15,78000,9,0,15,12605,2019-12-04 06:22:49
15,78000,0,0,15,10874,2019-12-04 06:29:23
15,78000,0,0,15,12576,2019-12-04 06:36:52
15,78000,0,0,15,13667,2019-12-04 06:45:05
15,78000,0,0,15,11405,2019-12-04 06:51:58
15,78000,0,0,15,11850,2019-12-04 06:59:03
15,78000,0,0,15,9410,2019-12-04 07:04:44
15,78000,3,0,15,12266,2019-12-04 07:12:02
15,78000,0,0,15,11605,2019-12-04 07:18:57
15,78000,3,4,15,12243,2019-12-04 07:26:14
15,78000,0,0,15,12371,2019-12-04 07:33:42
15,78000,5,0,15,11511,2019-12-04 07:40:38
15,78000,5,0,15,9435,2019-12-04 07:46:15
15,78000,0,0,15,10940,2019-12-04 07:52:47
15,78000,0,0,15,9874,2019-12-04 07:58:40
15,78000,0,0,15,13997,2019-12-04 08:06:59
15,78000,0,0,15,12852,2019-12-04 08:14:34
15,78000,11,0,15,12104,2019-12-04 08:21:42
15,78000,3,4,15,10547,2019-12-04 08:27:58
15,78000,0,0,15,9988,2019-12-04 09:26:41
15,78000,0,0,15,12968,2019-12-04 09:35:03
15,78000,9,9,15,11398,2019-12-04 09:42:28
15,78000,5,0,15,12775,2019-12-04 09:50:59
15,78000,0,0,15,11966,2019-12-04 09:58:13
15,78000,0,0,15,12835,2019-12-04 10:05:56
15,78000,0,0,15,12277,2019-12-04 10:13:24
15,78000,8,0,15,11092,2019-12-04 10:20:05
15,78000,0,0,15,10513,2019-12-04 10:26:27
15,78000,0,0,15,11232,2019-12-04 10:44:00
15,78000,0,0,15,10267,2019-12-04 10:50:12
15,78000,0,0,15,10866,2019-12-04 10:56:44
15,78000,0,0,15,12120,2019-12-04 11:04:02
15,78000,0,0,15,11222,2019-12-04 11:10:48
15,78000,0,0,15,14665,2019-12-04 11:19:37
15,78000,0,0,15,12322,2019-12-04 11:27:02
15,78000,0,0,15,12469,2019-12-04 11:34:31
15,78000,0,0,15,12313,2019-12-04 11:41:47
15,78000,0,0,15,10407,2019-12-04 11:47:58
15,78000,0,0,15,14627,2019-12-04 11:56:35
15,78000,0,0,15,12090,2019-12-04 12:03:43
15,78000,0,0,15,9162,2019-12-04 12:09:08
15,78000,0,0,15,12043,2019-12-04 12:16:14
15,78000,0,0,15,12596,2019-12-04 12:23:46
15,78000,8,0,15,17499,2019-12-04 12:34:08
15,78000,0,0,15,13883,2019-12-04 12:42:18
15,78000,0,0,15,11740,2019-12-04 12:49:15
15,78000,0,0,15,12903,2019-12-04 12:56:53
15,78000,0,0,15,10273,2019-12-04 13:59:09
15,78000,0,0,15,12050,2019-12-04 14:06:20
15,78000,3,6,15,10842,2019-12-04 14:12:49
15,78000,4,0,15,10818,2019-12-04 14:19:16
15,78000,0,0,15,12888,2019-12-04 14:26:53
15,78000,0,0,15,11190,2019-12-04 14:33:29
15,78000,0,0,15,11506,2019-12-04 14:40:20
15,78000,2,0,15,11713,2019-12-04 14:47:15
15,78000,0,0,15,10388,2019-12-04 14:53:23
15,78000,0,0,15,11633,2019-12-04 15:00:15
15,78000,6,13,15,13832,2019-12-04 15:08:25
15,78000,0,0,15,11596,2019-12-04 15:15:15
15,78000,0,0,15,11961,2019-12-04 15:22:19
15,78000,0,0,15,13573,2019-12-04 15:30:21
15,78000,0,0,15,13093,2019-12-04 15:38:06
15,78000,0,0,15,11735,2019-12-04 15:45:03
15,78000,0,0,15,12011,2019-12-04 15:52:09
15,78000,0,0,15,10342,2019-12-04 15:58:16
15,78000,7,0,15,12851,2019-12-04 16:05:53
15,78000,0,0,15,13114,2019-12-04 16:13:38
15,78000,0,0,15,11510,2019-12-04 16:20:29
15,78000,0,0,15,9104,2019-12-04 16:25:51
15,78000,0,0,15,12067,2019-12-04 16:33:00
15,78000,0,0,15,11087,2019-12-04 16:39:33
15,78000,0,0,15,10879,2019-12-04 16:46:04
15,78000,2,9,15,11071,2019-12-04 16:52:39
15,78000,0,0,15,11859,2019-12-04 16:59:43
15,78000,3,0,15,11274,2019-12-04 17:06:21
15,78000,0,0,15,12607,2019-12-04 17:13:48
15,78000,9,0,15,10169,2019-12-04 17:19:49
15,78000,0,0,15,12572,2019-12-04 17:27:14
15,78000,0,0,15,11818,2019-12-04 17:34:13
15,78000,0,0,15,9719,2019-12-04 17:39:58
15,78000,8,0,15,12381,2019-12-04 17:47:16
15,78000,0,0,15,12779,2019-12-04 17:54:49
15,78000,0,0,15,11185,2019-12-04 18:01:25
15,78000,0,0,15,12316,2019-12-04 18:08:41
15,78000,0,0,15,12482,2019-12-04 18:16:03
15,78000,0,0,15,10681,2019-12-04 18:22:21
